Time,Value
0.866943, 115.972946
0.867004, 115.856941
0.867065, 116.508080
0.867126, 114.491417
0.867188, 116.508080
0.867249, 115.856941
0.867310, 115.856941
0.867371, 114.148750
0.867432, 116.245422
0.867493, 113.479820
0.867554, 117.895531
0.867615, 117.668022
0.867676, 119.530136
0.867737, 114.453682
0.867798, 117.668022
0.867859, 115.690338
0.867920, 122.359261
0.867981, 117.987785
0.868042, 113.053108
0.868103, 111.950096
0.868164, 117.462753
0.868225, 114.507545
0.868286, 115.694191
0.868347, 114.228218
0.868408, 113.961731
0.868469, 110.928482
0.868530, 113.072243
0.868591, 112.123802
0.868652, 113.072243
0.868713, 113.072243
0.868774, 111.631943
0.868835, 113.650520
0.868896, 115.888237
0.868958, 113.380386
0.869019, 113.380386
0.869080, 113.439796
0.869141, 113.439796
0.869202, 113.439796
0.869263, 113.138680
0.869324, 113.138680
0.869385, 112.240273
0.869446, 112.565010
0.869507, 112.565010
0.869568, 112.222374
0.869629, 112.888222
0.869690, 112.381165
0.869751, 112.707336
0.869812, 112.381165
0.869873, 109.786247
0.869934, 111.309677
0.869995, 110.390129
0.870056, 110.597878
0.870117, 111.433487
0.870178, 111.433487
0.870239, 113.629486
0.870300, 112.361351
0.870361, 112.361351
0.870422, 114.142464
0.870483, 112.361351
0.870544, 112.361351
0.870605, 111.493027
0.870667, 112.361351
0.870728, 112.382362
0.870789, 112.361351
0.870850, 113.702972
0.870911, 112.896446
0.870972, 112.449074
0.871033, 111.851303
0.871094, 111.437500
0.871155, 111.851303
0.871216, 111.437500
0.871277, 111.437500
0.871338, 110.619843
0.871399, 111.706688
0.871460, 110.953194
0.871521, 110.111977
0.871582, 110.111977
0.871643, 108.042236
0.871704, 110.111977
0.871765, 110.111977
0.871826, 110.111977
0.871887, 110.111977
0.871948, 110.111977
0.872009, 110.600533
0.872070, 109.298409
0.872131, 110.111977
0.872192, 110.111977
0.872253, 110.111977
0.872314, 108.445816
0.872375, 110.956696
0.872437, 109.101639
0.872498, 109.101639
0.872559, 109.101639
0.872620, 109.101639
0.872681, 109.101639
0.872742, 108.937645
0.872803, 109.101639
0.872864, 108.244499
0.872925, 109.101639
0.872986, 109.101639
0.873047, 109.134834
0.873108, 108.350121
0.873169, 109.273384
0.873230, 110.157486
0.873291, 107.429161
0.873352, 102.163460
0.873413, 104.821327
0.873474, 103.415955
0.873535, 105.339188
0.873596, 106.289787
0.873657, 105.881569
0.873718, 107.159370
0.873779, 107.117401
0.873840, 105.941429
0.873901, 105.941429
0.873962, 104.998650
0.874023, 106.282722
0.874084, 103.148056
0.874146, 109.699600
0.874207, 105.299828
0.874268, 101.560295
0.874329, 107.364212
0.874390, 105.299828
0.874451, 109.285889
0.874512, 108.386856
0.874573, 107.266823
0.874634, 108.071701
0.874695, 108.708733
0.874756, 108.350838
0.874817, 107.266823
0.874878, 107.266823
0.874939, 109.090866
0.875000, 106.004700
0.875061, 103.919624
0.875122, 105.298233
0.875183, 104.744644
0.875244, 104.115913
0.875305, 104.265930
0.875366, 104.744644
0.875427, 105.149612
0.875488, 103.144203
0.875549, 106.984184
0.875610, 106.282158
0.875671, 105.110085
0.875732, 106.465248
0.875793, 104.543892
0.875854, 105.110085
0.875916, 102.420898
0.875977, 104.415520
0.876038, 104.054832
0.876099, 107.179794
0.876160, 104.316605
0.876221, 104.316605
0.876282, 105.858948
0.876343, 104.058853
0.876404, 104.058853
0.876465, 104.058853
0.876526, 104.058853
0.876587, 103.939606
0.876648, 104.058853
0.876709, 104.243683
0.876770, 103.939606
0.876831, 103.939606
0.876892, 103.065521
0.876953, 104.232071
0.877014, 102.733063
0.877075, 103.939606
0.877136, 105.978859
0.877197, 107.444954
0.877258, 104.792206
0.877319, 99.104355
0.877380, 98.510597
0.877441, 100.574287
0.877502, 100.507599
0.877563, 100.413147
0.877625, 100.507599
0.877686, 100.850616
0.877747, 100.507599
0.877808, 100.906685
0.877869, 100.850616
0.877930, 101.335831
0.877991, 100.906685
0.878052, 100.906685
0.878113, 100.834938
0.878174, 100.939903
0.878235, 100.064491
0.878296, 100.939903
0.878357, 100.834938
0.878418, 102.394569
0.878479, 100.658394
0.878540, 100.834938
0.878601, 100.834938
0.878662, 100.658394
0.878723, 100.844574
0.878784, 100.834938
0.878845, 100.591202
0.878906, 100.214386
0.878967, 101.443565
0.879028, 100.214386
0.879089, 99.878189
0.879150, 98.871719
0.879211, 100.965553
0.879272, 99.337280
0.879333, 99.846992
0.879395, 99.846992
0.879456, 100.058357
0.879517, 99.846992
0.879578, 99.846992
0.879639, 99.846992
0.879700, 99.846992
0.879761, 99.846992
0.879822, 99.846992
0.879883, 100.039635
0.879944, 99.846992
0.880005, 100.592575
0.880066, 99.846992
0.880127, 100.633934
0.880188, 99.353790
0.880249, 97.573662
0.880310, 99.353790
0.880371, 99.353790
0.880432, 98.565819
0.880493, 99.712997
0.880554, 98.137611
0.880615, 100.595421
0.880676, 98.823990
0.880737, 100.904396
0.880798, 98.823990
0.880859, 95.550301
0.880920, 99.266357
0.880981, 103.059227
0.881042, 95.027267
0.881104, 97.646744
0.881165, 95.138840
0.881226, 101.233849
0.881287, 97.678642
0.881348, 97.646744
0.881409, 100.178429
0.881470, 95.864571
0.881531, 97.306198
0.881592, 98.856239
0.881653, 98.310020
0.881714, 98.102234
0.881775, 98.102234
0.881836, 98.102234
0.881897, 98.102234
0.881958, 98.529099
0.882019, 94.779922
0.882080, 95.234993
0.882141, 94.157562
0.882202, 94.779922
0.882263, 95.033081
0.882324, 94.589737
0.882385, 95.571922
0.882446, 94.102821
0.882507, 95.345795
0.882568, 96.157944
0.882629, 95.345795
0.882690, 95.504982
0.882751, 94.540977
0.882812, 95.609489
0.882874, 94.540977
0.882935, 92.645393
0.882996, 94.540977
0.883057, 94.189461
0.883118, 95.754189
0.883179, 97.471947
0.883240, 96.732742
0.883301, 95.934891
0.883362, 95.934891
0.883423, 97.527626
0.883484, 98.766922
0.883545, 93.666122
0.883606, 93.617233
0.883667, 93.420456
0.883728, 90.504074
0.883789, 96.254883
0.883850, 95.673897
0.883911, 92.597244
0.883972, 90.153381
0.884033, 94.375374
0.884094, 97.242508
0.884155, 93.657677
0.884216, 90.314545
0.884277, 94.038620
0.884338, 91.122810
0.884399, 93.657677
0.884460, 94.231094
0.884521, 94.302650
0.884583, 90.195961
0.884644, 93.949310
0.884705, 94.231094
0.884766, 94.231094
0.884827, 91.512810
0.884888, 94.231094
0.884949, 95.232498
0.885010, 95.672409
0.885071, 90.652817
0.885132, 93.578331
0.885193, 93.578331
0.885254, 93.578331
0.885315, 93.520256
0.885376, 93.578331
0.885437, 93.578331
0.885498, 93.352203
0.885559, 93.578331
0.885620, 93.578331
0.885681, 93.578331
0.885742, 93.578331
0.885803, 93.916939
0.885864, 93.578331
0.885925, 93.578331
0.885986, 91.850655
0.886047, 91.071480
0.886108, 93.578331
0.886169, 92.964516
0.886230, 94.481239
0.886292, 92.964516
0.886353, 92.964516
0.886414, 92.964516
0.886475, 92.964516
0.886536, 92.964516
0.886597, 93.191910
0.886658, 93.350586
0.886719, 93.618034
0.886780, 92.964516
0.886841, 94.872711
0.886902, 92.747116
0.886963, 90.742836
0.887024, 89.261368
0.887085, 90.458069
0.887146, 90.121231
0.887207, 90.121231
0.887268, 90.121231
0.887329, 90.121231
0.887390, 90.121231
0.887451, 90.121231
0.887512, 90.121231
0.887573, 89.770546
0.887634, 88.949928
0.887695, 89.258987
0.887756, 91.154930
0.887817, 87.953667
0.887878, 88.949928
0.887939, 88.898552
0.888000, 91.650543
0.888062, 87.953667
0.888123, 86.268700
0.888184, 87.953667
0.888245, 87.199707
0.888306, 88.481781
0.888367, 86.945595
0.888428, 89.621689
0.888489, 87.690987
0.888550, 88.787247
0.888611, 91.607132
0.888672, 89.742554
0.888733, 88.787247
0.888794, 84.687904
0.888855, 83.888390
0.888916, 86.751122
0.888977, 89.134445
0.889038, 83.863251
0.889099, 90.653168
0.889160, 86.751122
0.889221, 85.412323
0.889282, 88.484131
0.889343, 83.107162
0.889404, 83.131119
0.889465, 84.619164
0.889526, 88.716484
0.889587, 87.204170
0.889648, 84.619164
0.889709, 84.619164
0.889771, 83.542252
0.889832, 83.531242
0.889893, 82.797623
0.889954, 89.807098
0.890015, 92.013832
0.890076, 88.260735
0.890137, 88.335831
0.890198, 88.129776
0.890259, 85.422424
0.890320, 84.861107
0.890381, 85.391525
0.890442, 85.474579
0.890503, 85.474579
0.890564, 85.474579
0.890625, 85.474579
0.890686, 85.474579
0.890747, 85.625130
0.890808, 85.474579
0.890869, 85.474579
0.890930, 85.642227
0.890991, 85.625130
0.891052, 85.642227
0.891113, 85.690582
0.891174, 85.690582
0.891235, 85.690582
0.891296, 85.787910
0.891357, 86.211609
0.891418, 85.787910
0.891479, 85.007828
0.891541, 86.469872
0.891602, 85.978767
